name,E125_1,E125_2,E145_1,E145_2,P0_1,P0_2,P07_1,P07_2,P21_1,P21_2,Adult_1,Adult_2
ENSMUSG00000000001,5706.433121,5089.666704,4928.042296,5072.372227,4633.488991,5219.6105,3745.927875,3539.555401,4292.106958,4184.38946,4614.415597,4031.281671
ENSMUSG00000000028,928.1316233,953.1289859,707.8137672,687.0122968,156.7721839,125.7557097,335.2681073,273.8129468,190.4781194,257.308725,89.78274692,127.1901704
ENSMUSG00000000056,1363.361531,1300.295173,1300.866934,1227.297416,1189.190711,984.337847,928.4993948,926.0517601,1464.9499,1568.83378,843.5402268,2739.978077
ENSMUSG00000000058,173.0154227,183.0512622,418.320898,307.8528156,947.3327695,800.9441037,1166.296072,983.3614467,1184.427579,1611.30221,634.743141,1125.309643
ENSMUSG00000000078,827.3981994,779.1952195,1378.607986,1439.846131,4583.911463,2607.933885,3398.055704,4276.394228,6359.660363,7866.652185,8631.671529,8771.810223
ENSMUSG00000000085,758.9609878,480.421895,476.8117846,573.1958883,456.9172198,714.1127803,797.4171273,977.9033813,1217.905551,791.9113187,755.8454508,2360.563331
ENSMUSG00000000088,1729.38527,1616.602143,1579.253939,1560.51895,3280.156463,3696.319611,3882.892039,3837.019965,12005.89359,11376.54305,19875.3946,17487.57054
ENSMUSG00000000093,625.9313516,448.1599868,1110.586455,979.7810101,865.5968445,428.1682498,696.5846138,730.4710839,126.9854129,152.3867206,58.46318404,28.02495279
ENSMUSG00000000120,616.7038624,277.7329495,850.7092244,637.6461437,499.1251155,614.5561767,744.4800577,662.2452666,188.1692937,81.18964624,2.087970859,66.82873358
ENSMUSG00000000127,545.190821,524.6066825,570.1010468,551.9410169,381.2109942,395.2322306,443.6630592,496.6839499,308.2282296,414.6917316,499.0250352,338.4551991
ENSMUSG00000000131,1822.42912,1953.248143,1900.58362,1701.075358,1334.573463,1667.760246,1119.240899,1363.606668,1933.641515,1230.335408,699.4702376,515.2279782
ENSMUSG00000000134,993.4930053,738.5171613,638.957407,679.4702456,728.2536919,735.8206111,611.7172483,613.1226781,558.735817,1251.569624,108.5744846,316.8975431
ENSMUSG00000000142,265.2903149,245.4710413,859.5939161,700.0394761,341.0129983,334.6000134,376.4413836,446.6516839,417.8974499,540.8479511,325.7234539,310.4302463
ENSMUSG00000000148,427.5403335,457.9788284,445.7153639,461.4364029,344.3628313,391.4895011,297.4559147,331.1226333,196.2501836,226.081938,423.8580843,286.7168247
ENSMUSG00000000149,2390.688664,2290.595488,2317.423736,2369.575347,1601.220169,1479.126681,1846.915538,1705.645432,662.632973,453.4129475,482.3212683,610.0816646
ENSMUSG00000000154,13.07227638,37.17132911,88.10652542,84.33384481,382.5509274,403.4662354,556.2593659,621.3097762,1159.030496,1530.112564,1365.532941,2192.413614
ENSMUSG00000000159,59.20972245,63.1211249,102.9143448,102.8461522,700.7850614,806.1839249,519.2874443,590.380739,1841.288488,1819.897147,3324.049607,4468.902087
ENSMUSG00000000168,1648.644739,1251.200965,1407.483234,1265.693313,1737.223388,2368.3992,2102.357906,1975.819669,2143.744653,1839.882291,1693.344366,1638.381855
ENSMUSG00000000171,2750.560743,2606.902458,2546.944936,2689.08406,5319.534788,5451.659726,4971.883185,4927.723364,14435.93263,15712.07015,36902.79695,33468.26093
ENSMUSG00000000184,13262.20887,13704.29756,12361.56763,12319.59775,10696.01674,10342.65858,5588.642059,6064.820319,3481.70914,3765.950514,1728.839871,2282.95577
ENSMUSG00000000194,1537.145911,1273.644031,1443.022,1306.831774,2275.876533,2051.015742,1646.931053,1312.664725,1556.148515,1818.648076,3618.453498,1627.603027
ENSMUSG00000000204,0,0,7.403909699,3.428205074,43.54782887,96.56241997,299.9767275,339.3097314,370.5665232,141.1450773,820.5725474,1052.013612
ENSMUSG00000000216,0,0,0,0,1667.546862,728.3351522,252.9215546,434.8258756,20.77943121,251.0633676,37.58347545,32.33648399
ENSMUSG00000000253,326.8069096,345.0621494,402.0322967,412.0702499,402.6499254,489.5490129,343.6708167,365.6903807,602.6035051,538.3498081,828.9244308,1224.47486
ENSMUSG00000000266,216.8459965,204.0916372,445.7153639,400.4143526,901.7750408,756.0313502,1021.76947,886.0259473,674.1771015,858.1121072,853.9800811,250.0688095
ENSMUSG00000000275,635.1588408,641.7314364,1678.466329,1646.909717,2265.157068,2265.099867,2479.63956,2360.613279,1732.77368,2177.131591,2069.179121,2084.625334
ENSMUSG00000000276,243.7595067,337.3473453,390.1860411,292.7687133,275.3562717,273.2192503,278.129683,276.5419795,158.1545598,227.3310095,110.6624555,224.1996223
